barrio;ciudad;Costo Prom;STD Costo;Costo Med;Prom $/m2 Total;STD $/m2 Total;Med $/m2 Total;Prom $/m2 Edif;STD $/m2 Edif;Med $/m2 Edif;Cant
PARQUE SAN VICENTE;CORDOBA;80176.0;46080.0;70000.0;329.0;153.0;233.0;577.0;232.0;631.0;17
PARQUE TABLADA;CORDOBA;205000.0;35355.0;205000.0;640.0;178.0;640.0;985.0;319.0;985.0;2
PARQUE VELEZ SARSFIELD;CORDOBA;134622.0;43947.0;133500.0;492.0;347.0;400.0;650.0;200.0;626.0;86
PASO DE LOS ANDES;CORDOBA;138459.0;62228.0;133000.0;616.0;263.0;547.0;728.0;196.0;683.0;37
PATRIA;CORDOBA;142583.0;96537.0;144000.0;670.0;325.0;598.0;727.0;185.0;711.0;12
PATRICIOS;CORDOBA;46756.0;16195.0;45000.0;205.0;96.0;180.0;341.0;163.0;321.0;27
POETA LUGONES;CORDOBA;125390.0;34343.0;125000.0;547.0;334.0;512.0;852.0;254.0;816.0;78
POLICIAL;CORDOBA;60000.0;;60000.0;231.0;;231.0;429.0;;429.0;1
PORTAL DEL JACARANDA;CORDOBA;190000.0;;190000.0;253.0;;253.0;507.0;;507.0;1
PORTALES DEL SUR;CORDOBA;106500.0;12021.0;106500.0;557.0;137.0;557.0;739.0;22.0;739.0;2
PRADOS DE LA VILLA;CORDOBA;145000.0;;145000.0;276.0;;276.0;806.0;;806.0;1
PRADOS DE LA VILLA;VILLA ALLENDE;182000.0;38116.0;170000.0;492.0;294.0;427.0;1144.0;206.0;1151.0;15
PRADOS DE MANANTIALES;CORDOBA;119632.0;33110.0;113750.0;707.0;177.0;683.0;873.0;158.0;864.0;68
PRIMERA JUNTA;CORDOBA;90000.0;7071.0;90000.0;364.0;47.0;364.0;624.0;211.0;624.0;2
PRIMERO DE MAYO;CORDOBA;63185.0;42041.0;48000.0;229.0;163.0;179.0;402.0;217.0;353.0;13
PROVIDENCIA;CORDOBA;64649.0;42503.0;49750.0;792.0;299.0;839.0;575.0;162.0;598.0;82
PUENTE BLANCO;CORDOBA;62843.0;14375.0;68000.0;610.0;424.0;729.0;440.0;80.0;450.0;7
PUEYRREDON;CORDOBA;60630.0;39110.0;48000.0;580.0;320.0;588.0;455.0;210.0;406.0;196
QUEBRADA DE LAS ROSAS;CORDOBA;127686.0;97883.0;105000.0;680.0;393.0;560.0;743.0;209.0;733.0;83
QUEBRADAS DE MANANTIALES;CORDOBA;86500.0;9192.0;86500.0;680.0;91.0;680.0;816.0;102.0;816.0;2
QUINTA DE LOS NORES;CORDOBA;320000.0;170880.0;300000.0;634.0;457.0;500.0;1360.0;458.0;1468.0;3
QUINTAS DE ARGUELLO;CORDOBA;144258.0;71744.0;140000.0;320.0;122.0;320.0;736.0;198.0;740.0;31
QUINTAS DE FLORES;CORDOBA;281800.0;30186.0;299000.0;233.0;132.0;199.0;1054.0;259.0;1120.0;5
QUINTAS DE INAUDI;CORDOBA;450000.0;;450000.0;178.0;;178.0;1084.0;;1084.0;1
QUINTAS DE SANTA ANA;CORDOBA;138119.0;54300.0;130000.0;691.0;206.0;665.0;825.0;219.0;820.0;21
RAMON J. CARCANO;CORDOBA;65000.0;;65000.0;158.0;;158.0;650.0;;650.0;1
REMEDIOS DE ESCALADA;CORDOBA;55000.0;28284.0;55000.0;315.0;96.0;315.0;;;;2
RENACIMIENTO;CORDOBA;38000.0;;38000.0;148.0;;148.0;284.0;;284.0;1
RESIDENCIAL AMERICA;CORDOBA;69723.0;28604.0;60000.0;381.0;248.0;286.0;509.0;172.0;478.0;43
RESIDENCIAL CHATEAU CARRERAS;CORDOBA;117500.0;3536.0;117500.0;1369.0;149.0;1369.0;;;;2
RESIDENCIAL OESTE;CORDOBA;60000.0;0.0;60000.0;231.0;0.0;231.0;250.0;0.0;250.0;2
RESIDENCIAL OLIVOS;CORDOBA;50000.0;;50000.0;167.0;;167.0;333.0;;333.0;1
