id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;activo
52014494;DEPARTAMENTO;47000;18-07-2023;INMOBILIARIA;;40;1;1;1;CARLOS PAZ. DEPARTAMENTO SOBRE AV SAN MARTIN;VILLA CARLOS PAZ;-31.4207828;-64.4992141;True
50372200;CASA;220000;27-09-2022;INMOBILIARIA;400;200;3;3;;CASA EN VENTA EN Bdeg LA CUESTA - INMEJORABLE VISTA;VILLA CARLOS PAZ;-31.410631826623295;-64.481173;False
51956264;DEPARTAMENTO;105000;04-07-2023;INMOBILIARIA;40;40;1;1;1;NUEVA CORDOBA;CORDOBA;-31.426979;-64.1818538;True
50196297;CASA;250000;23-08-2022;INMOBILIARIA;357;280;4;4;2;JARDIN ESPINOSA;CORDOBA;-31.4532819;-64.1696360999999;False
51442814;DEPARTAMENTO;95000;05-04-2023;INMOBILIARIA;93;93;2;;;NUEVA CORDOBA;CORDOBA;-31.431577;-64.1937747;False
51342252;DEPARTAMENTO;46000;23-03-2023;INMOBILIARIA;53;41;1;1;;CENTRO;CORDOBA;-31.4011948;-64.2383211;False
51588393;CASA;103000;02-05-2023;INMOBILIARIA;100;100;3;1;3;INAUDI;CORDOBA;-31.47649179999999;-64.1927299;False
51717262;DEPARTAMENTO;72000;22-05-2023;INMOBILIARIA;50;50;1;1;;NUEVA CORDOBA;CORDOBA;-31.4247958;-64.1846048;False
51968263;CASA;260000;11-07-2023;INMOBILIARIA;384;247;3;2;2;VALLE ESCONDIDO;CORDOBA;-31.3803579;-64.2762623;True
52014474;TERRENOS;15000;20-07-2023;INMOBILIARIA;250;;;;;OTROS;RIO CEBALLOS;-31.1737267;-64.31233259999999;True
51487622;DEPARTAMENTO;85000;15-04-2023;PARTICULAR;60;50;1;1;1;CENTRO;VILLA CARLOS PAZ;-31.421194;-64.49517;False
51236494;TERRENOS;50000;01-03-2023;INMOBILIARIA;800;360;4;3;2;VIVI EL VERDE! LOTE 800 M2, LISTO PARA CONSTRUIR. COUNTRY VALLE DEL GOLF;VILLA CARLOS PAZ;-31.4805740273254;-64.42833602;False
50469593;CASA;360000;12-10-2022;INMOBILIARIA;1500;342;3;4;3;CASA EN SIETE SOLES, EN VENTA! 3 DORM.! ESCUCHA OFERTAS - RECIBE MENOR;CORDOBA;-31.4376275657;-64.3074733037;False
51833766;TERRENOS;18000;12-06-2023;INMOBILIARIA;460;;;;;LA DESEADA COUNTRY;LA CALERA;-31.3352758;-64.329042;False
51065586;DEPARTAMENTO;87000;30-01-2023;INMOBILIARIA;64;50;1;1;1;GENERAL PAZ;CORDOBA;-31.4071109;-64.1710852;False
47260469;DEPARTAMENTO;97300;01-08-2022;INMOBILIARIA;86;86;2;2;;ALTA CORDOBA;CORDOBA;-31.3892911;-64.1867192;False
52094498;TERRENOS;350000;01-08-2023;INMOBILIARIA;2266;507;5;7;5;VENTA FRACCION TERRENO C/INMUEBLE Y DESARROLLO TURISTICO Y GASTRONOMICO EN SAN CLEMENTE;SANTA MARIA;-31.6885357106;-64.6144423253;True
49288334;CASA;99000;01-08-2022;INMOBILIARIA;148;148;3;2;1;PRADOS DE MANANTIALES;CORDOBA;-31.45701519999999;-64.2381063;False
51564379;TERRENOS;190000;26-04-2023;INMOBILIARIA;2040;;;;;LA CASCADA COUNTRY GOLF;CORDOBA;-31.4645895;-64.259967;False
